!C:\2020\Myanmar\Data\PARKDD\PARKDD724MCORRAUTOELECREMUBC.dat
12 40 168 196 -0.0164103 0.15128
12 40 172 200 -0.0142492 4.2179
12 40 176 204 -0.015087 0.0480841
12 40 180 208 -0.0113871 4.64256
12 40 184 212 -0.0115843 0.438555
12 44 184 216 -0.0156125 0.842246
12 44 192 224 -0.0121376 0.331152
12 44 196 228 -0.0126057 3.04356
12 44 200 232 -0.0150353 0.415574
12 44 204 236 -0.0134175 2.2251
16 20 24 28 -7.63325 0
16 20 28 32 -0.729387 0
16 20 32 36 -0.175807 0.0425196
16 20 36 40 -0.0634758 0.296552
16 20 40 44 -0.0343436 0.546481
16 20 44 48 -0.0256938 13.9746
16 24 40 48 -0.186043 0.409783
16 24 48 56 -0.0782548 0.899618
16 24 52 60 -0.0538514 0.994511
16 24 60 68 -0.0323669 0.463614
16 24 56 64 -0.0414471 0.651523
16 24 64 72 -0.0303003 0.559765
16 28 68 80 -0.0463289 0.0252539
16 28 80 92 -0.0325566 0.48362
16 28 76 88 -0.0328015 0.032303
16 28 88 100 -0.0205074 0.581229
16 28 84 96 -0.0274027 0.217604
16 28 96 108 -0.0161853 0.196928
16 28 92 104 -0.0163466 0.191083
16 32 92 108 -0.0315656 0.0718345
16 32 108 124 -0.0199252 0.116501
16 32 100 116 -0.0241858 0.598038
16 32 116 132 -0.0142197 1.32767
16 32 104 120 -0.021741 0.0293236
16 32 120 136 -0.0133837 0.0698065
16 32 112 128 -0.0167343 1.09363
16 36 116 136 -0.0251777 0.13088
16 36 136 156 -0.0143053 0.256069
16 36 124 144 -0.0200376 0.410325
16 36 144 164 -0.0128967 0.366767
16 36 128 148 -0.0177481 0.0547686
16 36 132 152 -0.0159582 0.562526
16 36 140 160 -0.0135086 0.0611895
16 40 140 164 -0.0177105 1.89652
16 40 164 188 -0.0136837 2.11157
16 40 148 172 -0.015971 0.076559
16 40 152 176 -0.0153401 0.871902
16 40 156 180 -0.014147 0.217192
16 40 160 184 -0.0131179 4.08727
16 40 168 192 -0.0121186 0.0742776
16 44 164 192 -0.0172796 0.0792461
16 44 192 220 -0.0138914 0.081636
16 44 172 200 -0.0164103 0.0710582
16 44 176 204 -0.0142492 0.126914
16 44 180 208 -0.015087 0.1277
16 44 184 212 -0.0113871 0.355145
16 44 188 216 -0.0115793 1.06955
16 48 188 220 -0.0155992 0.107526
16 48 196 228 -0.0121376 2.57623
16 48 200 232 -0.0126057 0.153082
16 48 204 236 -0.0150353 1.87878
20 24 28 32 -5.01998 0
20 24 32 36 -0.729387 0.033472
20 24 36 40 -0.19532 0
20 24 40 44 -0.0634758 0.271472
20 24 44 48 -0.0389624 0
20 24 48 52 -0.0272352 5.72041
20 28 44 52 -0.186427 0.111602
20 28 52 60 -0.0837667 0.774746
20 28 56 64 -0.0580628 0.93176
20 28 60 68 -0.0447569 0.160605
20 28 68 76 -0.0318309 1.18149
20 28 72 80 -0.0247556 1.30224
20 32 72 84 -0.0484469 0.91179
20 32 80 92 -0.0330821 1.18052
20 32 92 104 -0.0211962 1.20385
20 32 88 100 -0.0271451 1.15666
20 32 96 108 -0.01618 1.18355
20 36 96 112 -0.0310311 0.482523
20 36 112 128 -0.0199887 2.16604
20 36 104 120 -0.0241337 0.823967
20 36 120 136 -0.0142039 4.81129
20 36 108 124 -0.021376 0.7659
20 36 124 140 -0.0137447 1.30799
20 36 116 132 -0.0167343 0.0509247
20 40 120 140 -0.0251685 3.40707
20 40 140 160 -0.0143687 4.91482
20 40 128 148 -0.0200436 0.320456
20 40 148 168 -0.0129087 0.823794
20 40 132 152 -0.0178531 4.08008
20 40 136 156 -0.0160506 0.0533427
20 40 144 164 -0.0135428 0.413025
20 44 144 168 -0.0179749 0.0303969
20 44 168 192 -0.0136594 0.73639
20 44 152 176 -0.0163126 4.02
20 44 156 180 -0.0154922 0.251027
20 44 160 184 -0.0142951 2.57837
20 44 164 188 -0.0133332 0.258863
20 44 172 196 -0.0121685 1.20806
20 48 168 196 -0.0173828 0.691584
20 48 196 224 -0.0138914 0.515942
20 48 176 204 -0.0165521 4.17041
20 48 180 208 -0.0144198 1.02129
20 48 184 212 -0.0150658 2.81363
20 48 188 216 -0.0112801 0.624401
20 48 192 220 -0.0115749 2.23566
20 52 192 224 -0.015482 0.0958165
20 52 200 232 -0.0121376 17.8914
24 28 32 36 -6.53024 0
24 28 36 40 -0.729387 0.0320768
24 28 40 44 -0.19532 0.0756029
24 28 44 48 -0.068671 0.0395361
24 28 48 52 -0.0389624 0.0340694
24 28 52 56 -0.029764 8.37547
24 32 48 56 -0.186427 0.439245
24 32 56 64 -0.0864871 0.849878
24 32 60 68 -0.0591047 0.114495
24 32 68 76 -0.0446997 0.388805
24 32 64 72 -0.0454945 0.296659
24 32 72 80 -0.0342699 0.0695302
24 32 76 84 -0.0248479 0.52705
24 36 76 88 -0.0484469 0.0633075
24 36 88 100 -0.0348484 1.604
24 36 84 96 -0.0323989 0.146528
24 36 96 108 -0.0216085 1.52619
24 36 92 104 -0.0270163 0.653024
24 36 104 116 -0.0165749 5.70067
24 36 100 112 -0.0158606 4.00543
24 40 100 116 -0.0307377 2.85224
24 40 116 132 -0.0201009 4.14181
24 40 108 124 -0.0239833 0.291445
24 40 124 140 -0.0143471 0.485052
24 40 112 128 -0.0210348 0.0903023
24 40 128 144 -0.0140615 0.558186
24 40 120 136 -0.0167838 0.264806
24 44 124 144 -0.0251574 1.7367
24 44 144 164 -0.0144445 2.1391
24 44 132 152 -0.020223 0.0472407
24 44 152 172 -0.0129218 0.513689
24 44 136 156 -0.0179093 1.10161
24 44 140 160 -0.0164086 0.109086
24 44 148 168 -0.0137896 0.994322
24 48 148 172 -0.0184348 0.539812
24 48 172 196 -0.0136431 0.411543
24 48 156 180 -0.0166689 2.44483
24 48 160 184 -0.0155836 0.497736
24 48 164 188 -0.0144005 0.823664
24 48 168 192 -0.0134609 0.0936396
24 48 176 200 -0.0122267 0.0526371
24 52 172 200 -0.0175047 0.034198
24 52 200 228 -0.0138914 0.614176
24 52 180 208 -0.0165985 0.0821574
24 52 184 212 -0.0145521 18.9901
24 56 196 228 -0.0155185 0.513443
24 56 204 236 -0.0121376 0.150188
28 32 36 40 -3.82566 0.0255266
28 32 40 44 -0.666666 0.025895
28 32 44 48 -0.161503 0.0386272
28 32 48 52 -0.07065 0.0514618
28 32 52 56 -0.0435812 0.862921
28 32 56 60 -0.0322928 7.70137
28 36 52 60 -0.186427 0.401018
28 36 60 68 -0.0948972 1.12007
28 36 64 72 -0.064593 0.0805333
28 36 72 80 -0.0487188 0.200881
28 36 68 76 -0.0481549 0.834011
28 36 76 84 -0.0359706 1.01656
28 36 80 88 -0.0252114 0.172345
28 40 80 92 -0.0484469 0.846882
28 40 92 104 -0.0349266 1.62116
28 40 88 100 -0.0324556 0.493381
28 40 100 112 -0.0216355 0.0554401
28 40 96 108 -0.026904 0.0886559
28 40 108 120 -0.0167285 0.554648
28 40 104 116 -0.0154963 0.196209
28 44 104 120 -0.0304349 1.40813
28 44 120 136 -0.0201594 2.15231
28 44 112 128 -0.0239352 0.0552941
28 44 128 144 -0.0144634 0.103053
28 44 116 132 -0.0207349 0.227527
28 44 132 148 -0.0143291 1.02604
28 44 124 140 -0.0168443 0.093963
28 48 128 148 -0.0251574 1.03452
28 48 148 168 -0.0145267 1.38469
28 48 136 156 -0.0204082 0.0338889
28 48 156 176 -0.0129586 0.0331875
28 48 140 160 -0.0183141 2.03668
28 48 144 164 -0.0168263 0
28 48 152 172 -0.0140471 0
28 52 152 176 -0.019061 0.0308927
28 52 176 200 -0.0136268 0.491139
28 52 168 192 -0.0145235 3.34597
28 52 172 196 -0.0136098 0.0404119
28 52 180 204 -0.0122955 16.3925
28 56 176 204 -0.0176511 0.0433039
28 56 204 232 -0.0138914 0.11376
28 56 184 212 -0.0167205 0.213113
28 56 188 216 -0.0147359 0.604425
28 56 192 220 -0.0152199 5.3641
28 56 196 224 -0.0112124 11.196
28 56 200 228 -0.0116305 0.412559
32 36 40 44 -4.57007 0.0523423
32 36 44 48 -0.371141 0
32 36 48 52 -0.101801 0.0707025
32 36 52 56 -0.0726291 0.324192
32 36 56 60 -0.0422317 0.0837572
32 36 60 64 -0.0338811 6.54795
32 40 56 64 -0.186567 1.01827
32 40 64 72 -0.104696 1.91162
32 40 68 76 -0.065635 1.77914
32 40 76 84 -0.0491266 1.57532
32 40 72 80 -0.0485552 0.361939
32 40 80 88 -0.0374473 1.9634
32 40 84 92 -0.0255764 0.218697
32 44 84 96 -0.0483299 0.110944
32 44 96 108 -0.0345813 0.441436
32 44 92 104 -0.0313761 0.0656327
32 44 104 116 -0.0216355 0.219477
32 44 100 112 -0.0264846 0.56711
32 44 112 124 -0.0169286 1.48781
32 44 108 120 -0.0153746 0
32 48 108 124 -0.0301322 0.932064
32 48 124 140 -0.0201643 1.29217
32 48 116 132 -0.0238161 0.0838666
32 48 132 148 -0.0145136 0.298246
32 48 120 136 -0.0205639 0.432591
32 48 136 152 -0.0146593 0.0464599
32 48 128 144 -0.0169734 0.0584765
32 52 132 152 -0.0251747 5.9738
32 52 152 172 -0.0146036 2.32838
32 52 140 160 -0.0205993 18.4128
32 52 160 180 -0.012967 5.10497
32 52 144 164 -0.0187074 13.7031
32 52 148 168 -0.0170148 0.0322778
32 52 156 176 -0.0141385 3.5408
32 56 156 180 -0.0197139 0.127969
32 56 180 204 -0.0136431 0.396669
32 56 164 188 -0.0172155 2.35915
32 56 168 192 -0.0160022 0.0639206
32 56 172 196 -0.0148159 2.09836
32 56 176 200 -0.0137858 0.255369
32 56 184 208 -0.0124467 1.12392
32 60 180 208 -0.017931 0.0627274
32 60 208 236 -0.0138914 1.8878
36 40 44 48 -0.726148 0.0889537
36 40 48 52 -0.371141 0.0986715
36 40 52 56 -0.161503 0.335161
36 40 56 60 -0.0727546 0.283512
36 40 60 64 -0.0461758 0.0653401
36 40 64 68 -0.0357196 3.61617
36 44 60 68 -0.190163 0.364281
36 44 68 76 -0.113005 0.473935
36 44 72 80 -0.065635 0.0338183
36 44 80 88 -0.0520449 0.384572
36 44 76 84 -0.0460845 0.182666
36 44 84 92 -0.0386284 0.821939
36 44 88 96 -0.0253832 0.382794
36 48 88 100 -0.0473537 0.0553791
36 48 100 112 -0.0336954 0.426911
36 48 96 108 -0.0310918 0.409027
36 48 108 120 -0.0211784 0.516822
36 48 104 116 -0.0260652 0.183284
36 48 116 128 -0.0170457 0.108131
36 48 112 124 -0.0152979 1.5531
36 52 112 128 -0.0298295 0.647463
36 52 128 144 -0.0202229 0.0457871
36 52 120 136 -0.0237469 0.661997
36 52 136 152 -0.0146299 0.0462258
36 52 124 140 -0.0202729 1.12159
36 52 140 156 -0.0149269 0.0428169
36 52 132 148 -0.0169734 12.1282
36 56 136 156 -0.0252062 1.14308
36 56 156 176 -0.0146553 1.20975
36 56 144 164 -0.0206903 0.146262
36 56 164 184 -0.0129741 0.439654
36 56 148 168 -0.0188648 0.491815
36 56 152 172 -0.017488 0.0718366
36 56 160 180 -0.0143882 2.22543
36 60 184 208 -0.013621 1.03118
36 60 172 196 -0.0161903 0.0607329
36 60 176 200 -0.0150497 0.0380206
36 60 180 204 -0.0141019 0.031686
40 44 48 52 -13.5823 0.0287599
40 44 52 56 -0.371141 0.109376
40 44 56 60 -0.129095 0.0448068
40 44 60 64 -0.0812013 0.530826
40 44 64 68 -0.0540464 0.504114
40 44 68 72 -0.042612 1.68556
40 48 64 72 -0.202803 0.227265
40 48 72 80 -0.117816 0.570998
40 48 76 84 -0.0634447 0.187445
40 48 84 92 -0.0534094 1.77911
